YEAR,BENE_GEO_LVL,BENE_GEO_DESC,BENE_AGE_LVL,IP_MDCR_STDZD_PYMT_PC,IP_CVRD_STAYS_PER_1000_BENES,OP_MDCR_STDZD_PYMT_PC,OP_VISITS_PER_1000_BENES,ASC_MDCR_STDZD_PYMT_PC,ASC_EVENTS_PER_1000_BENES,EM_MDCR_STDZD_PYMT_PC,EM_EVNTS_PER_1000_BENES,PRCDRS_MDCR_STDZD_PYMT_PC,PRCDR_EVNTS_PER_1000_BENES,TESTS_MDCR_STDZD_PYMT_PC,TESTS_EVNTS_PER_1000_BENES,IMGNG_MDCR_STDZD_PYMT_PC,IMGNG_EVNTS_PER_1000_BENES,Percentage Change IP_MDCR_STDZD_PYMT_PC,Percentage Change IP_CVRD_STAYS_PER_1000_BENES,Percentage Change OP_MDCR_STDZD_PYMT_PC,Percentage Change OP_VISITS_PER_1000_BENES,Percentage Change ASC_MDCR_STDZD_PYMT_PC,Percentage Change ASC_EVENTS_PER_1000_BENES,Percentage Change EM_MDCR_STDZD_PYMT_PC,Percentage Change EM_EVNTS_PER_1000_BENES,Percentage Change PRCDRS_MDCR_STDZD_PYMT_PC,Percentage Change PRCDR_EVNTS_PER_1000_BENES,Percentage Change TESTS_MDCR_STDZD_PYMT_PC,Percentage Change TESTS_EVNTS_PER_1000_BENES,Percentage Change IMGNG_MDCR_STDZD_PYMT_PC,Percentage Change IMGNG_EVNTS_PER_1000_BENES
2007,National,National,>65,2573.43,334,766.3,3706,77.4,178,789.97,13181,574.49,4487,232.66,10249,309.93,4229,,,,,,,,,,,,,,
2008,National,National,>65,2709.83,332,833.97,3761,85.37,195,818.18,13417,595.95,4653,248.03,10463,313.76,4350,5.300319029,-0.598802395,8.830745139,1.48407987,10.29715762,9.550561798,3.571021684,1.790455959,3.735487128,3.699576554,6.606206482,2.088008586,1.235762914,2.8611965
2009,National,National,>65,2727.68,322,944.44,3865,86.56,205,859.42,13578,618.42,4849,268.13,10614,306.92,4420,0.658712908,-3.012048193,13.24627984,2.765222015,1.393932295,5.128205128,5.040455645,1.199970187,3.770450541,4.212336127,8.103858404,1.443180732,-2.180010199,1.609195402
2010,National,National,>65,2741.79,317,1003.42,3930,88.39,207,904.21,13624,647.89,4903,272.72,10584,280.93,4379,0.517289418,-1.552795031,6.244970565,1.681759379,2.114140481,0.975609756,5.211654372,0.338783326,4.765369813,1.113631677,1.711856189,-0.282645562,-8.468004692,-0.92760181
2011,National,National,>65,2586.45,305,1028.02,4006,87.37,176,922.95,13555,650.16,4930,270.03,10507,261.41,4327,-5.665641789,-3.785488959,2.451615475,1.933842239,-1.153976694,-14.97584541,2.0725274,-0.50645919,0.350368118,0.550683255,-0.986359636,-0.727513228,-6.948350123,-1.187485727
2012,National,National,>65,2597.99,288,1098.42,4115,91.34,173,944.64,13614,656.47,4926,277.03,10276,244.56,4235,0.446171393,-5.573770492,6.848115795,2.720918622,4.543893785,-1.704545455,2.350073135,0.43526374,0.970530331,-0.081135903,2.592304559,-2.19853431,-6.445813091,-2.126184423
2013,National,National,>65,2549.23,278,1164.63,4154,93.98,174,960.81,13608,662.34,4924,260.47,10137,235.07,4206,-1.876835554,-3.472222222,6.027748948,0.947752126,2.890299978,0.578034682,1.711763211,-0.044072279,0.894176428,-0.040600893,-5.977691947,-1.352666407,-3.880438338,-0.684769776
2014,National,National,>65,2483.84,269,1243.12,3799,94.77,172,955.15,13522,616.68,4965,245.64,9843,223.72,4156,-2.565088282,-3.237410072,6.739479491,-8.545979779,0.840604384,-1.149425287,-0.589086292,-0.631981188,-6.893740375,0.832656377,-5.69355396,-2.900266351,-4.828349002,-1.188777936
2015,National,National,>65,2512.85,267,1329.46,4184,99,174,979.8,13586,646.69,5083,258.61,9633,219.93,4142,1.167949626,-0.743494424,6.945427634,10.13424585,4.463437797,1.162790698,2.58074648,0.473302766,4.866381267,2.376636455,5.280084677,-2.133495885,-1.694081888,-0.336862368
2016,National,National,>65,2542.21,260,1391.33,4292,106.1,180,967.1,13640,661.62,5394,258.43,9476,220.38,4064,1.168394453,-2.621722846,4.6537692,2.58126195,7.171717172,3.448275862,-1.296182894,0.397467982,2.308679584,6.118433996,-0.069602877,-1.62981418,0.204610558,-1.883148238
2017,National,National,>65,2591.21,261,1493.77,4366,114.07,184,978.54,13632,668.83,5558,266.42,9392,225.99,3930,1.927456819,0.384615385,7.362739249,1.724137931,7.511781338,2.222222222,1.182918002,-0.058651026,1.089749403,3.040415276,3.091746314,-0.886449979,2.545603049,-3.297244094
2018,National,National,>65,2597.54,254,1656.81,4423,121.26,185,996.62,13708,689.07,5716,282.99,9339,231.23,3944,0.244287418,-2.681992337,10.91466558,1.305542831,6.30314719,0.543478261,1.847650581,0.557511737,3.026180046,2.84274919,6.21950304,-0.564310051,2.318686668,0.356234097
2019,National,National,>65,2646.87,250,1749.81,4549,131.19,194,1018.37,13902,722.56,5993,292.21,9348,240.76,4022,1.899104537,-1.57480315,5.613196444,2.848745196,8.189015339,4.864864865,2.182376432,1.415231981,4.860173858,4.846046186,3.258065656,0.096370061,4.12143753,1.977687627
2020,National,National,>65,2455.64,213,1638.31,3843,119.22,159,912.65,12588,629.22,5135,288.54,8439,211.54,3436,-7.224759811,-14.8,-6.372120402,-15.51989448,-9.12417105,-18.04123711,-10.3812956,-9.451877428,-12.91795837,-14.31670282,-1.255946066,-9.724005135,-12.13656754,-14.56986574
2021,National,National,>65,2562.6,211,1912.13,4575,149.08,191,1088.19,13501,706.4,5912,339.47,9196,236.7,3799,4.355687316,-0.938967136,16.71356459,19.04761905,25.0461332,20.12578616,19.2340985,7.252939307,12.2659801,15.13145083,17.65093228,8.970257139,11.89373168,10.56461001
